wr_10,wr_8,wr_9,"경도
lng","국가 2자리코드
code2","국가명 한글
country_kname","도시 3자리코드
ctCode","명소 (영문)주소
latlng",명소 이름,"영문 도시명
ctEname","위도
lat","유엔 구분
un_subregion","한글 도시명
ctKname","한글설명
expl"
parsing0608,https://www.windsortour.co.kr/images/area_img/SE/MMX/SEMMX3200770_0002.jpg,770,,SE,스웨덴,MMX,,터닝 토르소 Turning Torso,,,Northern Europe,,"\'트위스팅 토르소\'라 불리는 칼라트라바의 조각품에 기초한 건물로 친환경 프로젝트의 일환으로 만들어진 빌딩으로 에너지 절약아파트입니다.  스칸디나비아에서 가장 높은 빌딩으로 1~2층은 상업용으로 이용되고 있으며 나머지는 주거용으로 사용되고 있는 총 54층으로 구성된 건물입니다. Turning Torso는 스웨덴 말뫼 시에 위치한 초고층 건물로, 현재 스웨덴에서 가장 높은 건물입니다. 건물의 이름은 건물의 외형이 인간의 상체가 돌아가는 모습을 연상시키기 때문에 붙여졌습니다. Turning Torso는 2005년에 완공되었으며, 스페인 출신 건축가 산티아고 칼라트라바가 설계하였습니다. 건물은 구부러진 형태로, 190미터 높이에 54층으로 구성되어 있습니다. 건물 내부는 주거지역과 사무실로 구분되어 있으며, 147개의 아파트와 3개의 사무실 층이 있습니다. Turning Torso는 스웨덴의 혁신적인 건축물 중 하나로, 유럽에서는 물론 전 세계적으로도 많은 이들의 관심을 받고 있습니다. 이 건물은 스웨덴 말뫼의 대표적인 랜드마크 중 하나이며, 도시에서는 이 건물을 관람할 수 있는 관광 투어도 운영하고 있습니다. 스웨덴의 Turning Torso는 고도의 기술과 예술적인 디자인이 결합된 놀라운 건축물입니다. 이 건물은 스웨덴의 혁신적인 면모를 보여주는 대표적인 예시 중 하나입니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/PT/AVE/PTAVE3201723_0001.jpg,1723,,PT,포르투갈,AVE,,아베이루 시내 Aveiro,,,Southern Europe,,"\'포르투갈의 베네치아\'로 불리는 아베이루는 파스텔빛 아름다운 포르투갈의 운하 도시로 운하에 떠다니는 포르투갈 전통보트(곤돌라, 몰리세이루 Moliceiro)가 인상적인 곳입니다."
parsing0608,https://www.windsortour.co.kr/images/area_img/NL/AAL/NLAAL3201802_0001.jpg,1802,,NL,네덜란드,AAL,,알스미어 화훼경매장 Aalsmeer Flower Auction,AALBORG,,Western Europe,올보르그,"■ Aalsmeer Flower Auction(Flora Holland Aalsmeer)

Add : Legmeerdijk 313 1431 GB Aalsmeer
Tel: +31 88 789 8989

https://www.royalfloraholland.com/service-en-contact
오픈시간 : Monday, Tuesday, Wednesday and Friday from 07:00 to 11:00 hrs, Thursday from 07:00 to 09:00 hrs 

알스미어 화훼경매장은 Flora Holland라는 회사에서 운영하는 네덜란드의 6개 경매장 중 한 곳입니다.  오전 7시에 문을 열어 오전 11시에 총 4시간에 끝나며 하루 판매량은 약 2200만 송이로 전 세계 꽃 교역량의 80%가 알스미어를 포함한 네덜란드 꽃시장에서 거래됩니다. 이곳에는 500명 이상을 수용할 수 있는 경매룸 5개가 마련돼 있습니다. 경매룸에는 경매 진행 상황을 알려주는 경매 시계가 설치돼 있는데 모두 13대로 이들 경매 시계를 통해 매일 6만건의 거래가 이뤄집니다. 각 경매룸마다 전화와 팩스는 기본이고 모든 경매 절차를 개인 테이블에서 처리할 수 있는 전산 시스템이 구축돼 있으며 또한 알스미어 시장 회원들은 전 세계 어디에서든 온라인을 통해 이곳 전자경매에 참여할 수 있습니다.

45만 3천평으로 축구장 250개를 넘는 크기로 양재 꽃시장의 20배 규모에 육박하는 경매장으로 농업인들의 소득이 최대한 보장되도록 하고 있어 농업인 스스로가 소득을 지키려는 조직화의성공이라고 할 수 있습니다.

알스미어 화훼경매장은 세계에서 가장 큰 꽃 경매장으로서 건물은 면적이 518,000제곱미터로서 축구장200개가 들어갈정도의 넓이 66만평 크기다. 하루에 전세계 꽃 거래량의 80%인 2천만송이의 꽃과 2백만개의 화분이 거래된다고합니다. 이곳 경매장에서 거래된 꽃의 90%이상은 다시 세계각국으로 수출된다고 합니다.
네덜란드 수도 암스테르담에서 남서쪽으로 차량을 이용해 30분정도 가다보면 나타나는 작은 도시가 알스미어(Aalsmeer)다. 꽃의 왕국으로 불리는 네덜란드에서도 꽃의 중심지라고 할 수 있는 알스미어 화훼경매장이 위치하고 있는 곳이다. 네덜란드에는 이곳 알스미어 화훼경매장을 비롯해 모두 6곳의 경매장이 있는데 이들이 여러차례의 합병과정을 거쳐 최근에 모두 ‘플로라 홀랜드’로 합쳐졌다.

6개의 경매장에서 판매되는 연간 매출액은 40억유로에 달한다. 하루 평균 1천600만유로로 우리나라 금액으로 환산하면 자그마치 248억원(1유로 1천550원 기준)에 달한다. 경매에 나오는 꽃이나 식물의 수는 하루에 4천800만개로 연간 120억개나 된다. 이곳에 종사하는 사람만도 6곳 모두 합치면 4천500여명에 이른다. 더욱 관심을 끄는 것은 화훼경매장이 단순히 꽃을 경매하는 장소로서 끝나는 것이 아니라 하나의 관광상품으로 자리잡았다는 것이다. 끝없이 이어지는 꽃수레의 행렬과 수백명의 경매사들이 꽃 하나 하나에 심혈을 기울여 경매하는 모습이 가까운 유럽국가 뿐만 아니라 일본이나 중국, 한국의 관광객까지 끌어 들이고 있다.

알스미어 화훼경매장은 매일 오전 7시부터 밤 11시까지 경매가 진행되기 때문에 이곳을 찾는 관광객들도 보통 오전 7시쯤 방문한다. 사실 이곳 알스미어 화훼경매장은 이미 유럽사람들에게는 ‘아주 볼 만한 관광지’다. 입장료로 어른은 5유로, 어린이는 3유로를 받고 있지만 경매시간 동안 이곳을 찾는 ‘관광객’은 넘쳐난다. 특히 최근에는 서유럽사람은 물론, 아시아국가에서도 적지 않은 관광객이 찾는다고 한다. 실제로 이날 관광객 가운데서는 우리외에는 동양인을 보지 못했지만, 견학코스 곳곳에 일본어·중국어 안내문을 보면, 그들의 말이 틀리지 않은 것 같다.

경매장으로 들어서면 말로만 들었던 규모가 나타난다. 한눈에 들어오지 않을 정도의 크기에 놀란다. 1층짜리 건물의 바닥면적이 99만㎡로 단일 건물로는 세계에서 세번째로 크다고 한다. 관광객들은 경매장위로 설치된 견학코스를 따라 이동하면서 꽃의 흐름을 살펴볼 수 있다. 견학코스 아래로는 질서정연하게 정리된 카트안에 갖가지 꽃들이 제각기 아름다움을 뽐내고 있다.

이곳 알스미어 화훼경매장에서 하루에 팔려나가는 2천200여만송이의 꽃들이 뿜어내는 향기는 관광객들이 이곳을 쉽게 잊지 못하게 하는 묘약처럼 느껴졌다. 꽃을 재배농가로부터 가져와서 경매절차를 거쳐 세계 각지로 수출하는 단순한 일을 관광으로까지 접목시킨 안목이 새삼 놀라웠다. 특히 이같은 관광을 통해 네덜란드 화훼산업을 알리는 것은 물론, ‘꽃=네덜란드’라는 공식을 자연스럽게 세계인들의 머리에 각인시키는 솜씨가 부럽기만 했다. 수없이 많은 꽃들의 행렬과 경매사들의 눈빛을 체험하는 견학을 마치고 나오는 입구에는 선물가게가 자리하고 있다. 꽃밭에서 느낀 감흥을 그대로 매출로 연결시키는 구조다. 알스미어 화훼경매장을 둘러본 사람들이라면 누구라도 선물가게에서 관련 상품을 사지 않고는 배기지 못한다."
parsing0608,https://www.windsortour.co.kr/images/area_img/HU/BUD/HUBUD3200391_0002.jpg,391,,HU,헝가리,BUD,,부다페스트 중앙시장 Central Market Hall,BUDAPEST,,Eastern Europe,부다페스트,"■ Central Market Hall

add: Budapest, Vámház krt. 1-3, 1093 Hungary
tel: +36 1 366 3300
thttp://budapestmarkethall.com › great-market-hall-buda

중앙 시장은 1897년에 개장한 부다페스트에서 가장 큰 실내 시장으로 건물은 19세기 유행한 네오고딕 건축 양식으로 지어졌으며, 높은 천장과 철제 골조로 이루어진 실내에는 지하 1층부터 시장 2층까지 다양한 노점들이 위치해 있습니다."
,,,,IT,이탈리아,,,라모라-바롤로 트레킹 Langhe area trekking and walking,,,Southern Europe,,"■ 라모라-바롤로 트레킹  

: 난이도: 1단계(누구나): 약 4시간(10km)

* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.


♣ 트래킹.하이킹 코스 난이도 구분 
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계부터- 5단계까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.

-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다

-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.

-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다."
,,,,CH,스위스,,,라보지구-레만호수 트레킹 Lavaux area- Lac Leman trekking,,,Western Europe,,"■ 라보지구-레만호수 트레킹 

1. 난이도: 1단계(누구나):

* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.



♣ 트래킹.하이킹 코스 난이도 구분  
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계(레벨1)부터- 5단계(레벨5)까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.

-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다

-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.

-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다"
,,,,IT,이탈리아,IT-82,,로카 디 체팔루 트레킹 Rocca di Cefalu,SICILIA,,Southern Europe,시칠리아,"■ 로카 디 체팔루 트레킹      

지중해 바다를 바라보고 있는 체팔루 마을 뒤편에 있는 암벽산위에 폐허가 된 성과 지중해 바다를 전망하며 걷는 트레킹코스입니다   
* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.


♣ 트래킹.하이킹 코스 난이도 구분  
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계부터- 5단계까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.
-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다
-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.
     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.
     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다."
,,,,IT,이탈리아,IT-82,,링구아글로사 트레킹 Linguaglossa trekking,SICILIA,,Southern Europe,시칠리아,"■ 링구아글로사 트레킹

에트나화산의 분화, 이로 인한 비옥한 토지로 풍요로운 농산물과 와인생산이 가능한 지역이 링구아글로사 능선 입니다. 
* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.


♣ 트래킹.하이킹 코스 난이도 구분  
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계부터- 5단계까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.

-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다

-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.

-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다."
,,,,IT,이탈리아,IT-82,,몬테 타우로 하이킹 Galleria Monte Tauro hiking,SICILIA,,Southern Europe,시칠리아,"■ 몬테 타우로 하이킹

타우로미나 타운에서 출발하여 아름다운 지중해 해안과 마을을 전망하며

산투아리오 마돈나 성당과 사라센 성 경유하여 카스텔몰라까지 걷는 코스입니다.  

* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.


♣ 트래킹.하이킹 코스 난이도 구분  
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계부터- 5단계까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.

-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다

-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.

     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.

-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.

     해발고도 2000m-4000m 높이에서"
,,,,IT,이탈리아,,,몬테 파이토 트레킹 Monte faito trekking,,,Southern Europe,,"■ 몬테 파이토 트레킹

* 상세 트레킹 진행코스 및 트레킹 준비물등은 담당직원에게 문의 부탁드립니다.


♣ 트래킹.하이킹 코스 난이도 구분 
총 5단계( 누구나, 쉬움, 중간, 다소어려움, 어려움) 난이도로 구분하여 표시하였습니다. 1단계부터- 5단계까지 구분하였으며,
단 완전 프로급 기준하여서는 구분하여 표시하지 않았습니다.
-  1단계( 누구나): 3-4시간소요, 어린이(만8세)부터 70-80대까지도 건강한 사람이면 누구나 즐길수 있는 코스로서 워킹(산책)을 포함합니다.
-  2단계( 쉬움): 4-5시간, 평상시에 워킹을 하거나 한달에 한번이상 산행을 하셨던분들에게 추천하는 코스입니다.
     해발고도 ~ 2000m 높이에서 트래킹, 워킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다
-  3단계( 중간): 4-6시간, 평상시 운동을하고, 2주일에 한번이상 산행을 즐기시는 분들에게 추천하는 코스입니다
     해발고도 1000m-3000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  4단계( 다소 어려움): 5-7시간, 매일 운동을 즐기며 일주일에 1회이상 산행을 하시는분에게 추천합니다.
     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다.
-  5단계( 어려움): 6-8시간, 매일 운동을 즐기며 일주일에 2회이상 산행을 하시는 매우 건강한 분에게 추천합니다.
     해발고도 2000m-4000m 높이에서 트래킹이 진행되기도하며 하산시에는 가능한 경우 기차나 케이블카를 타고 하산합니다"
